Results Based on Closing Point Spread
Note: Away and Home records may not add up to All Teams record, due to Neutral site games included in All Teams data.

All Teams	Away Teams	Home Teams
Closing Spread	Game Count	Record	Win %	Average MOV	Record	Win %	Average MOV	Record	Win %	Average MOV
9.5	2325	370-1955-0	15.9%	-9.79	249-1364-0	15.4%	-9.82	69-333-0	17.2%	-9.86
9	2413	467-1946-0	19.4%	-8.76	316-1346-0	19.0%	-8.80	95-344-0	21.6%	-8.18
8.5	2699	499-2200-0	18.5%	-8.8	333-1493-0	18.2%	-8.79	91-430-0	17.5%	-9.36
8	2798	629-2169-0	22.5%	-7.8	432-1409-0	23.5%	-7.51	126-463-0	21.4%	-8.05
7.5	3251	733-2518-0	22.5%	-7.35	479-1635-0	22.7%	-7.42	146-542-0	21.2%	-7.36
7	3134	764-2370-0	24.4%	-6.83	478-1516-0	24.0%	-6.73	161-530-0	23.3%	-7.20
6.5	3629	988-2641-0	27.2%	-6.36	616-1644-0	27.3%	-6.23	228-627-0	26.7%	-6.91
6	3389	1008-2381-0	29.7%	-5.69	583-1436-0	28.9%	-5.89	255-592-0	30.1%	-5.57
5.5	3895	1181-2714-0	30.3%	-5.26	698-1589-0	30.5%	-5.05	303-685-0	30.7%	-5.57
5	3636	1172-2464-0	32.2%	-4.85	669-1450-0	31.6%	-5.01	323-663-0	32.8%	-4.69
4.5	4185	1430-2755-0	34.2%	-4.04	790-1553-0	33.7%	-4.07	418-754-0	35.7%	-3.84
4	4103	1492-2611-0	36.4%	-3.45	808-1436-0	36.0%	-3.46	442-794-0	35.8%	-3.47
3.5	4435	1727-2708-0	38.9%	-3.08	914-1408-0	39.4%	-2.90	556-874-0	38.9%	-3.27
3	4380	1709-2671-0	39.0%	-2.67	885-1340-0	39.8%	-2.44	556-849-0	39.6%	-2.57
2.5	4759	2019-2740-0	42.4%	-1.85	1005-1374-0	42.2%	-1.97	686-916-0	42.8%	-1.61
2	4540	1963-2577-0	43.2%	-1.47	910-1219-0	42.7%	-1.56	728-935-0	43.8%	-1.29
1.5	4024	1891-2133-0	47.0%	-0.89	852-1012-0	45.7%	-1.22	713-831-0	46.2%	-0.90
1	3911	1894-2017-0	48.4%	-0.42	876-907-0	49.1%	-0.17	756-801-0	48.6%	-0.44
0.5	3	1-2-0	33.3%	-5.33	0-1-0	0.0%	-14.00	1-1-0	50.0%	-1.00
0	1857	928-929-0	50.0%	-0	391-395-0	49.7%	-0.59	398-393-0	50.3%	0.61
-0.5	3	2-1-0	66.7%	5.33	1-1-0	50.0%	1.00	1-0-0	100.0%	14.00
-1	3905	2014-1891-0	51.6%	0.4	803-759-0	51.4%	0.38	906-873-0	50.9%	0.17
-1.5	4024	2131-1893-0	53.0%	0.9	828-710-0	53.8%	0.92	1012-855-0	54.2%	1.22
-2	4542	2581-1961-0	56.8%	1.48	936-724-0	56.4%	1.32	1219-912-0	57.2%	1.53
-2.5	4762	2742-2020-0	57.6%	1.86	919-694-0	57.0%	1.59	1374-999-0	57.9%	2.00
-3	4382	2670-1712-0	60.9%	2.67	841-553-0	60.3%	2.56	1347-888-0	60.3%	2.44
-3.5	4430	2707-1723-0	61.1%	3.07	879-555-0	61.3%	3.25	1396-913-0	60.5%	2.87
-4	4110	2612-1498-0	63.6%	3.43	795-443-0	64.2%	3.48	1441-813-0	63.9%	3.44
-4.5	4181	2756-1425-0	65.9%	4.07	752-421-0	64.1%	3.83	1555-781-0	66.6%	4.13
-5	3631	2463-1168-0	67.8%	4.86	666-318-0	67.7%	4.77	1446-672-0	68.3%	5.00
-5.5	3902	2719-1183-0	69.7%	5.24	684-306-0	69.1%	5.51	1593-696-0	69.6%	5.06
-6	3381	2366-1015-0	70.0%	5.66	587-255-0	69.7%	5.57	1429-589-0	70.8%	5.84
-6.5	3633	2653-980-0	73.0%	6.4	631-224-0	73.8%	7.00	1650-612-0	72.9%	6.27
-7	3134	2368-766-0	75.6%	6.82	529-163-0	76.4%	7.15	1514-479-0	76.0%	6.74
-7.5	3257	2527-730-0	77.6%	7.39	546-145-0	79.0%	7.39	1642-478-0	77.5%	7.45
-8	2796	2158-638-0	77.2%	7.73	459-128-0	78.2%	7.99	1403-438-0	76.2%	7.44
-8.5	2700	2204-496-0	81.6%	8.81	434-93-0	82.4%	9.31	1491-328-0	82.0%	8.81
-9	2411	1947-464-0	80.8%	8.8	343-93-0	78.7%	8.27	1352-315-0	81.1%	8.84
-9.5	2327	1956-371-0	84.1%	9.79	333-69-0	82.8%	9.88	1360-250-0	84.5%	9.80
-10	2119	1769-350-0	83.5%	9.83	292-73-0	80.0%	9.76	1279-233-0	84.6%	9.95
-10.5	1976	1694-282-0	85.7%	10.84	266-51-0	83.9%	10.38	1208-197-0	86.0%	10.90
-11	1726	1483-243-0	85.9%	11.07	241-34-0	87.6%	11.61	1091-190-0	85.2%	10.79
-11.5	1703	1492-211-0	87.6%	11.41	215-28-0	88.5%	11.39	1125-163-0	87.3%	11.23
-12	1555	1356-199-0	87.2%	11.62	194-31-0	86.2%	12.66	1035-153-0	87.1%	11.37
-12.5	1613	1435-178-0	89.0%	12.39	193-26-0	88.1%	13.00	1103-141-0	88.7%	12.19
-13	1447	1306-141-0	90.3%	13.38	155-23-0	87.1%	12.99	1021-98-0	91.2%	13.66
-13.5	1387	1276-111-0	92.0%	14.03	144-10-0	93.5%	15.22	1030-85-0	92.4%	14.05
-14	1217	1113-104-0	91.5%	13.87	118-8-0	93.7%	15.40	878-89-0	90.8%	13.52
-14.5	1163	1080-83-0	92.9%	14.9	112-5-0	95.7%	14.54	873-72-0	92.4%	14.83
-15	971	907-64-0	93.4%	15.52	78-1-0	98.7%	15.29	756-53-0	93.4%	15.77
-15.5	911	873-38-0	95.8%	16.08	76-4-0	95.0%	15.69	739-32-0	95.9%	16.12
-16	777	731-46-0	94.1%	15.94	67-6-0	91.8%	13.14	608-36-0	94.4%	16.18
-16.5	775	722-53-0	93.2%	16.21	55-8-0	87.3%	16.19	610-43-0	93.4%	16.10
-17	667	631-36-0	94.6%	16.99	41-3-0	93.2%	15.68	543-31-0	94.6%	17.10
-17.5	686	662-24-0	96.5%	18.22	34-3-0	91.9%	18.22	584-18-0	97.0%	18.36
-18	569	545-24-0	95.8%	17.93	24-1-0	96.0%	17.80	493-20-0	96.1%	18.05
-18.5	524	510-14-0	97.3%	20.46	20-3-0	87.0%	16.61	453-9-0	98.1%	20.84
-19	444	435-9-0	98.0%	19.74	29-0-0	100.0%	22.00	383-5-0	98.7%	19.76
